Id,SalePrice
1461,116488.94
1462,148379.19
1463,163991.67
1464,179681.6
1465,181262.06
1466,152568.2
1467,162908.1
1468,149027.23
1469,169962.5
1470,119869.39
1471,169823.06
1472,94735.51
1473,92395.98
1474,131670.77
1475,110182.05
1476,337405.12
1477,246726.95
1478,237359.48
1479,294626.88
1480,458572.53
1481,307000.7
1482,199689.84
1483,156071.77
1484,157050.02
1485,169191.92
1486,178222.0
1487,317039.03
1488,213186.61
1489,186340.31
1490,211604.89
1491,182121.98
1492,93176.2
1493,176264.78
1494,272012.7
1495,260285.25
1496,218363.72
1497,165145.06
1498,176056.98
1499,161159.48
1500,151132.23
1501,165997.45
1502,146952.58
1503,282218.22
1504,222009.75
1505,207325.48
1506,174037.78
1507,218442.12
1508,179920.45
1509,154256.61
1510,136471.02
1511,147815.17
1512,163342.86
1513,128474.55
1514,148701.48
1515,176697.97
1516,139461.25
1517,156057.94
1518,127918.86
1519,195298.56
1520,127546.73
1521,128161.71
1522,158727.6
1523,107179.27
1524,114842.39
1525,118439.87
1526,101033.55
1527,100600.79
1528,151968.34
1529,142172.2
1530,181666.86
1531,101211.7
1532,93887.23
1533,138947.0
1534,115011.27
1535,136202.89
1536,105068.16
1537,47602.234
1538,155245.06
1539,195972.44
1540,92011.49
1541,128111.2
1542,123690.61
1543,186047.73
1544,84810.04
1545,111268.88
1546,132068.48
1547,122388.59
1548,128995.8
1549,113875.16
1550,125537.98
1551,101815.07
1552,131935.22
1553,131792.84
1554,118679.22
1555,151191.7
1556,86757.43
1557,113878.81
1558,113206.05
1559,73324.47
1560,124662.66
1561,114410.05
1562,126886.9
1563,117275.31
1564,153022.45
1565,140131.52
1566,236920.08
1567,80205.74
1568,218530.38
1569,126388.57
1570,135532.14
1571,106540.29
1572,133367.81
1573,204355.08
1574,121920.8
1575,216328.23
1576,237635.4
1577,170499.08
1578,144450.72
1579,133375.8
1580,180332.25
1581,153575.66
1582,118534.71
1583,280402.97
1584,199226.3
1585,134581.52
